precio,banos,dormitorios,superficie_total,superficie_construida,estacionamiento,latitud,longitud
600838658,3.0,5.0,65016.0,62291.0,1.0,-33.458487,-70.569203
110000000,4.0,8.0,345.0,0.0,0.0,-33.5084867,-70.6435034
102423358,2.0,5.0,100.0,0.0,1.0,-33.5645039,-70.6718093
137089725,2.0,3.0,140.0,76.0,1.0,-33.5591579,-70.5462423
110420258,1.0,4.0,380.0,285.0,1.0,-33.4004527,-70.676923
480000000,1.0,6.0,350.0,50.0,0.0,-33.4255881,-70.6565446
622418865,5.0,5.0,5000.0,4670.0,1.0,-33.2588225,-70.7210177
429390230,2.0,3.0,5000.0,4780.0,1.0,-33.6712672,-71.2227032
216664795,3.0,3.0,300.0,170.0,1.0,-33.7553643,-70.908575
106916591,1.0,5.0,208.0,0.0,1.0,-33.5594628,-70.6687812
115029309,1.0,2.0,55.0,0.0,1.0,-33.4449809,-70.5772048
169392476,2.0,3.0,147.0,55.0,1.0,-33.3612289,-70.7091591
373845255,3.0,5.0,400.0,220.0,1.0,-33.4752304,-70.5972676
165453116,4.0,5.0,600.0,0.0,1.0,-33.4931092,-70.7819155
90605278,1.0,3.0,2500.0,2410.0,1.0,-33.2831734,-70.8653922
248179674,3.0,4.0,400.0,269.0,1.0,-33.2215474,-70.6870045
776053901,4.0,5.0,350.0,170.0,1.0,-33.380459,-70.5343604
190000000,2.0,2.0,700.0,610.0,1.0,-33.5917486,-70.7063143
390390567,1.0,2.0,2482.0,2334.0,1.0,-33.3615853,-70.508542
174119708,2.0,3.0,144.0,50.0,1.0,-33.5375663,-70.5598236
354542391,3.0,5.0,152.0,14.0,1.0,-33.387562,-70.5373345
125000000,1.0,2.0,126.0,75.0,1.0,-33.5080283,-70.7065202
140000000,2.0,3.0,1008.0,864.0,1.0,-33.5901188,-70.3846389
177271196,2.0,3.0,310.0,223.0,1.0,-33.1989888,-70.6514445
626358225,3.0,4.0,350.0,132.0,1.0,-33.4442109,-70.5765202
85000000,1.0,2.0,10407.0,3146.0,1.0,-33.4303489,-70.7524116
688994047,5.0,6.0,5000.0,4670.0,1.0,-33.2743369,-70.7091836
196180123,3.0,2.0,336.0,-1361.0,1.0,-33.3760345,-70.6722969
307270073,3.0,4.0,250.0,140.0,1.0,-33.3544798,-70.6705064
350603032,3.0,6.0,420.0,227.0,1.0,-33.4954691,-70.5987546
267876474,3.0,4.0,32616.0,21859.0,1.0,-33.5623675,-70.8288889
112350545,2.0,3.0,90.0,-3.0,1.0,-33.6767441,-70.9861704
531813587,4.0,4.0,5740.0,5458.0,1.0,-33.6086907,-70.7913304
108726333,2.0,2.0,61.0,1.0,0.0,-33.3642946,-70.499228
160000000,1.0,3.0,180.0,90.0,1.0,-33.3950092,-70.6646693
216664795,2.0,4.0,270.0,0.0,1.0,-33.4308858,-70.6740777
252119034,3.0,3.0,300.0,178.0,1.0,-33.7495291,-70.9115241
149000000,3.0,5.0,190.0,70.0,1.0,-33.5117558,-70.7203427
439632565,4.0,5.0,140.0,0.0,1.0,-33.4888107,-70.5739231
388026951,5.0,5.0,550.0,300.0,1.0,-33.2124266,-70.7297759
303330713,3.0,5.0,300.0,180.0,1.0,-33.590924,-70.7126987
200000000,2.0,3.0,135.0,61.0,1.0,-33.5206392,-70.591481
181210556,2.0,5.0,323.0,163.0,1.0,-33.5849094,-70.8111834
